Type,Entity 1,Relationship,Type,Entity2
PERSON,Smith, credits ,PERSON, his membership in Los Gatos Boy Scout Troop 39
ORG,Swanton Pacific Ranch, got ,O, its lazy SP brand
PERSON,Smith, was presented ,O, Medal of Excellence
PERSON,PPIE, for Zone is ,ORG, atFort Mason
PERSON,PPIE, was ,O, place where
PERSON,Lou Haughney, From ,O, papers
ORG,Swanton Pacific Ranch, for ,O, operating capital
PERSON,Smith, has ,O, childhood neighbor
PERSON,Smith, is in ,ORG, theEl Rodeo
DATE,Dec. 11, is in ,O, recognition of his exceptional contributions to Cal Poly
PERSON,Al Smith, has ,O, companion
PERSON,Smith, establish ,ORG, quasi-endowment for Swanton Pacific Ranch 's operating capital
PERSON,Smith, was ,O, sent back
PERSON,Al Smith, became ,O, president
PERSON,Smith, establish ,LOC, quasi-endowment for Swanton Pacific Ranch 's operating capital
ORG,Ranch, was used by ,O, students for variety of purposes
PERSON,Smith, thus willed ,O, bulk of his assets
PERSON,Smith, willed ,O, bulk of his assets
GPE,San Francisco, has ,O, opportunity prove
ORG,Swanton Pacific Ranch, offers ,O, real opportunity
GPE,Davenport, in ,GPE, world than Brussels sprouts
PERSON,Año Nuevo, is ,DATE, State Park today
PERSON,Lou Haughney, 's papers is ,O, information isfrom
PERSON,Boy Scouts, is with ,PERSON, Troop Master Kenny Robinson .139 Smith
PERSON,Smith, thus willed ,O, bulk
PERSON,Smith, check ,O, fuel
ORG,Swanton Pacific Ranch, offers ,O, opportunity
PERSON,Smith, thus willed bulk to ,O, education
PERSON,Smith, After ,O, passing
PERSON,Kevin Piper, starting in ,DATE,1991
PERSON,Al Smith, has ,O, Cal Poly Student Identification Card
PERSON,Smith, attending ,O, Cal Poly
PERSON,Al Smith, has ,GPE, Parents at Panama
PERSON,Margaret, were ,O, friends andbecame
PERSON,Smith, through ,O, line
PERSON,Smith, earned BS In ,DATE,1944
PERSON,Al Smith, president of ,O, Orchard Supply Hardware
PERSON,Martha Jean Neilsen, died on ,O, December 3 2013 in San Jose
PERSON,PPIE, was ,O, also place where
PERSON,PPIE, was ,O, place
GPE,San Jose, served as ,O, Trustee of Foundation
PERSON,Mardi Bennett, Scouting in ,O, theSanta Clara Valley
PERSON,Railroad Buff, Head of ,O, Orchard Supply
PERSON,Smith, of ,LOC, Southern Pacific Railroad tools
PERSON,Smith, was added to ,O, his pursuits
PERSON,Smith, to ,ORG, Ranch few days
PERSON,Smith, credits ,O, his membership
CARDINAL,181, See ,O, Appendix G
PERSON,Smith, worked for ,GPE, Southern Pacific Railroad
GPE,San Luis Obispo, stated From ,GPE, Panama to Poly
GPE,San Francisco, to ,DATE, 1915 Panama-Pacific International Exposition
GPE,San Francisco, hosted ,O, world fair
PERSON,Smith, establish ,PERSON, quasi-endowment for Swanton Pacific Ranch 's operating capital
PERSON,Smith, establish ,O, quasi-endowment
PERSON,Smith, was added to ,O, his educational pursuits
GPE,San Francisco, hosted world In ,DATE,1915
PERSON,Kevin Piper, approximately starting in ,DATE,1991
PERSON,Lou Haughney, 's papers is ,O, September 1997
PERSON,Smith, was formally presented ,O, Medal of Excellence
ORG,Orchard Supply Hardware, has ,O, Inception for additional historical information
PERSON,Smith, was presented ,O, Medal
